5000004777 = Verdict: Unsolved ; Iters: 8716938 ; Length: -1
5000030559 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5000040836 = Verdict: Solved ; Iters: 7068650 ; Length: -1
5000054733 = Verdict: Solved ; Iters: 4153369 ; Length: -1
5000064400 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5000068104 = Verdict: Solved ; Iters: 6206241 ; Length: -1
5000076749 = Verdict: Unsolved ; Iters: 9433846 ; Length: -1
5000079317 = Verdict: Unsolved ; Iters: 3532174 ; Length: -1
5000143082 = Verdict: Unsolved ; Iters: 3365181 ; Length: -1
5000161029 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5000181176 = Verdict: Unsolved ; Iters: 7818521 ; Length: -1
5000182816 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5000186736 = Verdict: Unsolved ; Iters: 5654138 ; Length: -1
5000196090 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5000199709 = Verdict: Unsolved ; Iters: 4595636 ; Length: -1
5000219172 = Verdict: Solved ; Iters: 4066120 ; Length: -1
5000287714 = Verdict: Unsolved ; Iters: 9869269 ; Length: -1
5000317143 = Verdict: Unsolved ; Iters: 3208070 ; Length: -1
5000343487 = Verdict: Unsolved ; Iters: 4186392 ; Length: -1
5000357055 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5000363748 = Verdict: Unsolved ; Iters: 5341637 ; Length: -1
5000368489 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5000395514 = Verdict: Unsolved ; Iters: 4195313 ; Length: -1
5000482950 = Verdict: Unsolved ; Iters: 5689485 ; Length: -1
5000491150 = Verdict: Unsolved ; Iters: 3097452 ; Length: -1
5000513913 = Verdict: Unsolved ; Iters: 3854453 ; Length: -1
5000539357 = Verdict: Solved ; Iters: 5233433 ; Length: -1
5000590027 = Verdict: Unsolved ; Iters: 3239429 ; Length: -1
5000598741 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5000614153 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5000626409 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5000644947 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5000670440 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5000677659 = Verdict: Solved ; Iters: 5714747 ; Length: -1
5000702147 = Verdict: Solved ; Iters: 4283176 ; Length: -1
5000720605 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5000753185 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5000776125 = Verdict: Solved ; Iters: 7587590 ; Length: -1
5000798720 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5000815149 = Verdict: Unsolved ; Iters: 3943464 ; Length: -1
5000841267 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5000856245 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5000891714 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5000910417 = Verdict: Unsolved ; Iters: 6358361 ; Length: -1
5000914305 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5000919173 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5000921453 = Verdict: Unsolved ; Iters: 3970813 ; Length: -1
5000925070 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5000926198 = Verdict: Unsolved ; Iters: 4331182 ; Length: -1
5000935238 = Verdict: Unsolved ; Iters: 7861121 ; Length: -1
5000954269 = Verdict: Unsolved ; Iters: 3470043 ; Length: -1
5000990295 = Verdict: Unsolved ; Iters: 3228478 ; Length: -1
5000992394 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5001002659 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5001024382 = Verdict: Unsolved ; Iters: 9065120 ; Length: -1
5001026005 = Verdict: Unsolved ; Iters: 5591717 ; Length: -1
5001098415 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5001110798 = Verdict: Unsolved ; Iters: 3791320 ; Length: -1
5001134069 = Verdict: Unsolved ; Iters: 4316959 ; Length: -1
5001141843 = Verdict: Unsolved ; Iters: 4405617 ; Length: -1
5001154685 = Verdict: Unsolved ; Iters: 4845895 ; Length: -1
5001156917 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
5001166888 = Verdict: Unsolved ; Iters: 7020816 ; Length: -1
5001168736 = Verdict: Unsolved ; Iters: 6529485 ; Length: -1
