8000013720 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8000028504 = Verdict: Solved ; Iters: 6359379 ; Length: -1
8000082352 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8000104149 = Verdict: Unsolved ; Iters: 6466814 ; Length: -1
8000111080 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8000126872 = Verdict: Unsolved ; Iters: 6242823 ; Length: -1
8000140851 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8000164941 = Verdict: Solved ; Iters: 4172249 ; Length: -1
8000173315 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8000181727 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8000188760 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8000192200 = Verdict: Unsolved ; Iters: 5632110 ; Length: -1
8000227065 = Verdict: Unsolved ; Iters: 7291279 ; Length: -1
8000233829 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8000238209 = Verdict: Solved ; Iters: 7216453 ; Length: -1
8000267179 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8000268598 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8000276180 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8000294466 = Verdict: Unsolved ; Iters: 6147376 ; Length: -1
8000312300 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8000313223 = Verdict: Unsolved ; Iters: 3370045 ; Length: -1
8000313653 = Verdict: Unsolved ; Iters: 3628226 ; Length: -1
8000327411 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8000328177 = Verdict: Unsolved ; Iters: 7734763 ; Length: -1
8000333605 = Verdict: Unsolved ; Iters: 4344948 ; Length: -1
8000377083 = Verdict: Unsolved ; Iters: 3444437 ; Length: -1
8000403560 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8000406695 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8000411110 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8000414181 = Verdict: Unsolved ; Iters: 3121683 ; Length: -1
8000423303 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8000428845 = Verdict: Unsolved ; Iters: 5415498 ; Length: -1
8000456896 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8000478694 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8000493613 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
